review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,60,284,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,20,2025-07-03
2,62,27,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,40,2024-06-25
3,97,490,4,No tan bueno,No cumplió mis expectativas.,true,33,2025-05-22
4,32,91,5,Podría mejorar,Muy buena calidad por el precio.,true,16,2024-12-24
5,65,97,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,15,2023-03-20
6,4,357,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,30,2024-10-19
7,25,460,1,Recomendado,No cumplió mis expectativas.,false,37,2024-05-14
8,2,94,1,Recomendado,Llegó a tiempo y en perfecto estado.,true,10,2023-04-20
9,10,318,2,Satisfecho,Excelente relación calidad-precio.,true,10,2023-12-15
10,99,340,1,Satisfecho,Cumple con lo prometido.,true,21,2024-03-19
11,64,365,5,No tan bueno,Bueno pero esperaba un poco más.,true,15,2025-11-12
12,18,90,1,Buena calidad,Cumple con lo prometido.,false,31,2023-07-28
13,5,428,1,Buena calidad,El producto es correcto pero la entrega tardó.,false,40,2023-09-26
14,41,496,4,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,36,2025-04-27
15,8,362,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2025-11-24
16,21,46,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,42,2025-08-06
17,35,226,1,Cumple expectativas,Excelente relación calidad-precio.,true,16,2025-11-01
18,46,238,1,Buena calidad,El producto es correcto pero la entrega tardó.,true,20,2025-08-16
19,14,204,4,Podría mejorar,Bueno pero esperaba un poco más.,true,0,2023-09-11
20,31,120,3,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",false,33,2025-09-08
21,85,59,2,Podría mejorar,Excelente relación calidad-precio.,false,41,2024-07-28
22,33,3,1,Muy bueno,Muy buena calidad por el precio.,true,33,2023-06-09
23,23,388,1,Podría mejorar,Cumple con lo prometido.,true,6,2023-01-26
24,86,304,5,Cumple expectativas,Bueno pero esperaba un poco más.,true,5,2025-11-20
