product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Super Equipo 1,Descripción detallada del producto 1,7,10,4,263.13,110.51,18.9,true,2023-11-03,2025-09-01
2,SKU-000002,Super Pack 2,Descripción detallada del producto 2,3,14,6,13.76,8.26,7.2,false,2022-09-06,2025-03-27
3,SKU-000003,Smart Dispositivo 3,Descripción detallada del producto 3,10,15,5,275.8,157.21,16.2,true,2022-09-11,2025-08-12
4,SKU-000004,Básico Widget 4,Descripción detallada del producto 4,1,12,4,217.56,141.41,21.4,true,2023-09-30,2025-02-11
5,SKU-000005,Ultra Producto 5,Descripción detallada del producto 5,9,6,8,175.97,103.82,2.4,true,2022-07-17,2024-05-04
6,SKU-000006,Mega Kit 6,Descripción detallada del producto 6,6,12,6,386.9,177.97,41.4,true,2022-12-30,2025-08-11
7,SKU-000007,Super Herramienta 7,Descripción detallada del producto 7,1,2,1,102.83,54.5,24.7,true,2023-10-30,2025-02-09
8,SKU-000008,Mini Kit 8,Descripción detallada del producto 8,5,14,1,297.2,208.04,10.9,true,2022-06-22,2024-07-09
9,SKU-000009,Básico Pack 9,Descripción detallada del producto 9,6,12,5,93.48,43.94,2.6,true,2023-04-04,2025-04-16
10,SKU-000010,Elite Pack 10,Descripción detallada del producto 10,4,14,7,360.58,219.95,10.6,false,2023-08-25,2024-02-26
11,SKU-000011,Max Pack 11,Descripción detallada del producto 11,6,14,7,300.33,147.16,25.4,true,2022-05-31,2024-03-10
12,SKU-000012,Básico Set 12,Descripción detallada del producto 12,7,7,5,195.25,93.72,25.6,false,2022-11-14,2024-02-16
13,SKU-000013,Premium Pack 13,Descripción detallada del producto 13,9,11,1,260.92,151.33,35,false,2023-09-11,2024-10-30
14,SKU-000014,Smart Dispositivo 14,Descripción detallada del producto 14,5,11,5,40.76,22.83,23.6,true,2023-12-28,2025-06-13
15,SKU-000015,Max Herramienta 15,Descripción detallada del producto 15,10,8,4,31.65,17.72,24.5,true,2022-03-14,2025-11-19
16,SKU-000016,Mini Producto 16,Descripción detallada del producto 16,5,4,8,54.7,31.18,33.5,false,2022-12-20,2024-12-24
17,SKU-000017,Ultra Producto 17,Descripción detallada del producto 17,10,8,8,375.79,259.3,47.4,true,2022-11-17,2025-07-02
18,SKU-000018,Pro Herramienta 18,Descripción detallada del producto 18,10,1,8,111.88,49.23,29.3,true,2022-04-10,2024-04-18
19,SKU-000019,Básico Kit 19,Descripción detallada del producto 19,3,6,3,59.16,27.81,48.6,true,2022-12-05,2024-04-27
20,SKU-000020,Pro Dispositivo 20,Descripción detallada del producto 20,8,14,5,411.46,172.81,9.6,true,2022-04-28,2024-09-07
21,SKU-000021,Pro Equipo 21,Descripción detallada del producto 21,9,11,8,360.32,252.22,25,false,2023-11-11,2024-01-27
22,SKU-000022,Smart Dispositivo 22,Descripción detallada del producto 22,4,11,3,271.14,122.01,2.5,false,2023-02-11,2024-12-21
23,SKU-000023,Ultra Producto 23,Descripción detallada del producto 23,2,6,4,157.5,77.18,12.3,true,2022-11-18,2025-09-09
24,SKU-000024,Básico Herramienta 24,Descripción detallada del producto 24,2,6,8,386.82,158.6,42.8,true,2022-05-22,2025-10-18
25,SKU-000025,Básico Herramienta 25,Descripción detallada del producto 25,9,8,3,392.86,267.14,47.9,true,2022-02-10,2025-01-16
26,SKU-000026,Super Set 26,Descripción detallada del producto 26,6,13,5,20.11,11.26,34.8,true,2022-06-11,2025-03-28
27,SKU-000027,Max Equipo 27,Descripción detallada del producto 27,9,1,8,109.12,74.2,2.7,true,2022-02-22,2024-12-03
28,SKU-000028,Smart Artículo 28,Descripción detallada del producto 28,1,1,5,299.14,128.63,21.7,true,2023-09-15,2025-05-28
29,SKU-000029,Super Dispositivo 29,Descripción detallada del producto 29,9,1,1,118.85,51.11,24.7,true,2022-01-08,2024-09-25
30,SKU-000030,Max Equipo 30,Descripción detallada del producto 30,7,2,7,193.42,123.79,5.2,true,2022-11-27,2025-07-19
31,SKU-000031,Ultra Producto 31,Descripción detallada del producto 31,6,7,1,492.66,300.52,34.7,true,2022-05-18,2025-09-29
32,SKU-000032,Ultra Pack 32,Descripción detallada del producto 32,3,5,6,100.46,66.3,42.8,true,2023-05-02,2025-11-22
33,SKU-000033,Super Gadget 33,Descripción detallada del producto 33,6,11,1,99.83,63.89,1.3,true,2023-12-24,2024-03-15
